,contractSymbol,strike,currency,lastPrice,change,percentChange,volume,openInterest,bid,ask,contractSize,expiration,lastTradeDate,impliedVolatility,inTheMoney,Type
0,SPY220214P00285000,285.0,USD,0.05,0.0,0.0,21.0,22,0.0,0.01,REGULAR,1644796800,1643399941,0.7500025,False,P
1,SPY220214P00290000,290.0,USD,0.01,0.0,0.0,7.0,9,0.0,0.01,REGULAR,1644796800,1643655734,0.7187528125,False,P
2,SPY220214P00295000,295.0,USD,0.01,0.0,0.0,10.0,25,0.0,0.01,REGULAR,1644796800,1643660996,0.6875031250000001,False,P
3,SPY220214P00300000,300.0,USD,0.01,0.0,0.0,1.0,187,0.0,0.01,REGULAR,1644796800,1643818208,0.67187828125,False,P
4,SPY220214P00305000,305.0,USD,0.03,0.0,0.0,2.0,18,0.0,0.01,REGULAR,1644796800,1643642169,0.6406285937499999,False,P
5,SPY220214P00310000,310.0,USD,0.01,0.0,0.0,1.0,103,0.0,0.01,REGULAR,1644796800,1643727835,0.6250037500000001,False,P
6,SPY220214P00315000,315.0,USD,0.01,0.0,0.0,1.0,684,0.0,0.01,REGULAR,1644796800,1643726125,0.5937540625000001,False,P
7,SPY220214P00320000,320.0,USD,0.01,-0.01,-50.0,20.0,360,0.0,0.01,REGULAR,1644796800,1643898901,0.5625043750000001,False,P
8,SPY220214P00325000,325.0,USD,0.02,0.0,0.0,1.0,216,0.01,0.02,REGULAR,1644796800,1643735052,0.5937540625000001,False,P
9,SPY220214P00330000,330.0,USD,0.01,0.0,0.0,60.0,73,0.01,0.02,REGULAR,1644796800,1643828832,0.5664105859375,False,P
10,SPY220214P00335000,335.0,USD,0.01,0.0,0.0,14.0,125,0.01,0.02,REGULAR,1644796800,1643745305,0.539067109375,False,P
11,SPY220214P00340000,340.0,USD,0.02,0.0,0.0,41.0,2762,0.01,0.02,REGULAR,1644796800,1643904641,0.51562984375,False,P
12,SPY220214P00345000,345.0,USD,0.03,0.02,200.0,10.0,158,0.02,0.03,REGULAR,1644796800,1643916000,0.51562984375,False,P
13,SPY220214P00350000,350.0,USD,0.04,-0.010000002000000001,-20.000004,3.0,89,0.03,0.04,REGULAR,1644796800,1643912782,0.5039112109375,False,P
14,SPY220214P00355000,355.0,USD,0.04,-0.02,-33.333336,154.0,107,0.04,0.05,REGULAR,1644796800,1643914899,0.49609878906250005,False,P
15,SPY220214P00360000,360.0,USD,0.03,0.0,0.0,6.0,102,0.05,0.06,REGULAR,1644796800,1643903007,0.47852083984375,False,P
16,SPY220214P00365000,365.0,USD,0.04,0.01,33.333336,127.0,402,0.06,0.07,REGULAR,1644796800,1643903023,0.46094289062500005,False,P
17,SPY220214P00370000,370.0,USD,0.05,0.010000002000000001,25.000004,21.0,420,0.08,0.09,REGULAR,1644796800,1643905698,0.446294599609375,False,P
